Due sacerdoti|"Il prigioniero", "Il castello del duca Barbablù";Il duca|"Il prigioniero", "Il castello del duca Barbablù"
Due sacerdoti|"Il prigioniero", "Il castello del duca Barbablù";Il grande Inquisitore|"Il prigioniero", "Il castello del duca Barbablù"
Due sacerdoti|"Il prigioniero", "Il castello del duca Barbablù";Il prigioniero|"Il prigioniero", "Il castello del duca Barbablù"
Due sacerdoti|"Il prigioniero", "Il castello del duca Barbablù";Judit|"Il prigioniero", "Il castello del duca Barbablù"
Due sacerdoti|"Il prigioniero", "Il castello del duca Barbablù";La madre|"Il prigioniero", "Il castello del duca Barbablù"
Due sacerdoti|"Il prigioniero", "Il castello del duca Barbablù";Prologo|"Il prigioniero", "Il castello del duca Barbablù"
Il duca|"Il prigioniero", "Il castello del duca Barbablù";Il grande Inquisitore|"Il prigioniero", "Il castello del duca Barbablù"
Il duca|"Il prigioniero", "Il castello del duca Barbablù";Il prigioniero|"Il prigioniero", "Il castello del duca Barbablù"
Il duca|"Il prigioniero", "Il castello del duca Barbablù";Judit|"Il prigioniero", "Il castello del duca Barbablù"
Il duca|"Il prigioniero", "Il castello del duca Barbablù";La madre|"Il prigioniero", "Il castello del duca Barbablù"
Il duca|"Il prigioniero", "Il castello del duca Barbablù";Prologo|"Il prigioniero", "Il castello del duca Barbablù"
Il grande Inquisitore|"Il prigioniero", "Il castello del duca Barbablù";Il prigioniero|"Il prigioniero", "Il castello del duca Barbablù"
Il grande Inquisitore|"Il prigioniero", "Il castello del duca Barbablù";Judit|"Il prigioniero", "Il castello del duca Barbablù"
Il grande Inquisitore|"Il prigioniero", "Il castello del duca Barbablù";La madre|"Il prigioniero", "Il castello del duca Barbablù"
Il grande Inquisitore|"Il prigioniero", "Il castello del duca Barbablù";Prologo|"Il prigioniero", "Il castello del duca Barbablù"
Il prigioniero|"Il prigioniero", "Il castello del duca Barbablù";Judit|"Il prigioniero", "Il castello del duca Barbablù"
Il prigioniero|"Il prigioniero", "Il castello del duca Barbablù";La madre|"Il prigioniero", "Il castello del duca Barbablù"
Il prigioniero|"Il prigioniero", "Il castello del duca Barbablù";Prologo|"Il prigioniero", "Il castello del duca Barbablù"
Judit|"Il prigioniero", "Il castello del duca Barbablù";La madre|"Il prigioniero", "Il castello del duca Barbablù"
Judit|"Il prigioniero", "Il castello del duca Barbablù";Prologo|"Il prigioniero", "Il castello del duca Barbablù"
La madre|"Il prigioniero", "Il castello del duca Barbablù";Prologo|"Il prigioniero", "Il castello del duca Barbablù"
Duca di Nottingham|"Roberto Devereux";Elisabetta I|"Roberto Devereux"
Duca di Nottingham|"Roberto Devereux";Lord Cecil|"Roberto Devereux"
Duca di Nottingham|"Roberto Devereux";Roberto Devereux|"Roberto Devereux"
Duca di Nottingham|"Roberto Devereux";Sara|"Roberto Devereux"
Duca di Nottingham|"Roberto Devereux";Sir Gualtiero|"Roberto Devereux"
Duca di Nottingham|"Roberto Devereux";Un paggio|"Roberto Devereux"
Elisabetta I|"Roberto Devereux";Lord Cecil|"Roberto Devereux"
Elisabetta I|"Roberto Devereux";Roberto Devereux|"Roberto Devereux"
Elisabetta I|"Roberto Devereux";Sara|"Roberto Devereux"
Elisabetta I|"Roberto Devereux";Sir Gualtiero|"Roberto Devereux"
Elisabetta I|"Roberto Devereux";Un paggio|"Roberto Devereux"
Lord Cecil|"Roberto Devereux";Roberto Devereux|"Roberto Devereux"
Lord Cecil|"Roberto Devereux";Sara|"Roberto Devereux"
Lord Cecil|"Roberto Devereux";Sir Gualtiero|"Roberto Devereux"
Lord Cecil|"Roberto Devereux";Un paggio|"Roberto Devereux"
Roberto Devereux|"Roberto Devereux";Sara|"Roberto Devereux"
Roberto Devereux|"Roberto Devereux";Sir Gualtiero|"Roberto Devereux"
Roberto Devereux|"Roberto Devereux";Un paggio|"Roberto Devereux"
Sara|"Roberto Devereux";Sir Gualtiero|"Roberto Devereux"
Sara|"Roberto Devereux";Un paggio|"Roberto Devereux"
Sir Gualtiero|"Roberto Devereux";Un paggio|"Roberto Devereux"
Abimelech|Samson et Dalila;Dalila|Samson et Dalila
Abimelech|Samson et Dalila;Due filistei|Samson et Dalila
Abimelech|Samson et Dalila;Gran Sacerdote|Samson et Dalila
Abimelech|Samson et Dalila;Messaggero|Samson et Dalila
Abimelech|Samson et Dalila;Samson|Samson et Dalila
Abimelech|Samson et Dalila;Vecchio ebreo|Samson et Dalila
Dalila|Samson et Dalila;Due filistei|Samson et Dalila
Dalila|Samson et Dalila;Gran Sacerdote|Samson et Dalila
Dalila|Samson et Dalila;Messaggero|Samson et Dalila
Dalila|Samson et Dalila;Samson|Samson et Dalila
Dalila|Samson et Dalila;Vecchio ebreo|Samson et Dalila
Due filistei|Samson et Dalila;Gran Sacerdote|Samson et Dalila
Due filistei|Samson et Dalila;Messaggero|Samson et Dalila
Due filistei|Samson et Dalila;Samson|Samson et Dalila
Due filistei|Samson et Dalila;Vecchio ebreo|Samson et Dalila
Gran Sacerdote|Samson et Dalila;Messaggero|Samson et Dalila
Gran Sacerdote|Samson et Dalila;Samson|Samson et Dalila
Gran Sacerdote|Samson et Dalila;Vecchio ebreo|Samson et Dalila
Messaggero|Samson et Dalila;Samson|Samson et Dalila
Messaggero|Samson et Dalila;Vecchio ebreo|Samson et Dalila
Samson|Samson et Dalila;Vecchio ebreo|Samson et Dalila
Aksin'ja|"Lady Macbeth del distretto di Mzesnk";Boris|"Lady Macbeth del distretto di Mzesnk"
Aksin'ja|"Lady Macbeth del distretto di Mzesnk";Capo della polizia|"Lady Macbeth del distretto di Mzesnk"
Aksin'ja|"Lady Macbeth del distretto di Mzesnk";Cocchiere|"Lady Macbeth del distretto di Mzesnk"
