3364|Roberto Devereux, Conte di Essex|"Roberto Devereux"
3933|Giovane Henrik|"Le braci"
418|Zelmira|"Zelmira"
3750|Nemorino, coltivatore, giovane semplice|"L'elisir d'amore"
3306|Buoso Donati|"Eine florentinische tragödie/Gianni Schicchi"
2063|Un Ufficiale|"Il Barbiere di Siviglia"
2879|Camoine|"Amica"
364|Don Pasquale|"Don Pasquale"
1653|Amore / Minerva|"Il ritorno di Ulisse in patria"
2922|Pimpinone|"Pimpinone"
4148|Miranda|"La donna serpente" di Alfredo Casella
2735|Ottavo uomo/primo nuovo venuto|"Il Naso"
2151|Mago Cristiano|Il "Rinaldo" di Haendel-Dantone-Pizzi
2739|Quinto domestico/decimo poliziotto/secondo nuovo venuto|"Il Naso"
381|Soeur Marthe|-
2483|Karolka|“Jenůfa”
3161|Il Conte di Tolosa|"Jérusalem"
422|Narciso / Giunone|"Agrippina"
3185|Sélika|La Fenice
3428|Il visconte Cascada|"La vedova allegra"
2521|Il Re d’Egitto|"Aida"
1353|Zita|"Eine florentinische tragödie/Gianni Schicchi"
4132|Die junge Frau|"Reigen" di Philippe Boesmans
2368|Doralbo|"La fuga in maschera"
3160|Hélène, figlia del Conte di Tolosa|"Jérusalem"
799|Marzelline|"Fidelio"
2414|Chitarrisit|"El amor brujo" e "La vida breve"
2319|Daniello|"Ciro in Babilonia"
4028|Delirio|"L'Opera Seria"
63|Il Principe Nil'skij|"Il Giocatore" (Igrok')
1369|Virtù e Pallade|"l'Incoronazione di Poppea"
4050|Queen of Secresie|"The Fairy Queen"
1169|Scaramouche|"We Will Rock You"
3509|Tenore|"Shell Schock"
1892|Mr. Herz|"Der Schauspieldirektor", "La Canterina"
22|Aksin'ja|"Lady Macbeth del distretto di Mzesnk"
4022|Lapák|"Příhody lišky Bystroušky" (La piccola volpe astuta)
3124|Ned Keene|"Peter Grimes"
1921|Doganiere|"La Bohème"
1723|Contadini|"Cavalleria rusticana" e "Pagliacci"
2687|Giovanni, Corsaro|"Il Corsaro"
3683|Eurydice|"Orphée et Eurydice"
441|Plutone|"L'Orfeo" di Monteverdi
3845|Knusperhexe|"Hänsel und Gretel"
3703|Domestico / Commissionario|"La Traviata"
1187|Grande Inquisitore|"Leggenda"
3494|Il Dancaïre|"Carmen"
514|Myosotis|"Cin-Ci-là"
671|Lysiart|"Euryanthe"
939|Un cantante|"Der Rosenkavalier"
3887|Hotel Manager, Duke, Laundryman, Other guest|"Powder her face"
3412|Sellem|"The rake's progress"
1929|Fabrice del Dongo|"La Chartreuse de Parme"
2734|Ottavo poliziotto/settimo uomo|"Il Naso"
551|Jeppo Liverotto, un usciere|una "Lucrezia Borgia" di successo
1201|Shopie|"Werther"
1726|Il Commissario Imperiale|"Madama Butterfly"
3053|Ascanio Petrucci|"Lucrezia Borgia"
3044|Walter Furst|"Guillaume Tell"
4190|Zweiter Soldat|"Salome"
1734|Coridon|"Acis and Galatea"
912|Pinkerton|"Madama Butterfly"
987|Aufide|"Moise et Pharaon"
3253|Un venditore di canzonette/ voce di tesorino|Gala Pucciniano
235|Rodrigo, Marchese di Posa|"Don Carlo"
569|Sapkin|"Da una casa di morti"
4057|La Duchesse Totoche|"Les Chevaliers de la Table Ronde" di Hervé
792|Odabella|"Attila"
40|Un maestro|"Ainadamar"
2007|Soleá|"El gato montés"
48|Colline|"La Bohéme"
3109|Il principe ignoto, Calaf, suo figlio|Non piangere'... c'è Liù
1524|Conte di Vergy|"Gemma di Vergy"
2973|Spakos|"Cléopâtre"
594|Grande Fata|"Sogno di una notte di mezza estate"
4133|Benvenuto Cellini|"Benvenuto Cellini" di Hector Berlioz
3943|Moses|“Moses und Aron”
2437|Don Carlo, Infante di Spagna|"Don Carlo"
2321|Aliprando|"Matilde di Shabran"
254|Sir Bruno|"I Puritani"
3361|La Regina/Lucrezia|"Le Saphir" di Félicien David
3023|Annetta|"Crispino e la Comare"
64|La nonnetta|"Il Giocatore" (Igrok')
3145|Un forzato (Don Giovanni)|"Da una casa di morti"
742|Lucilla|"La scala di seta"
2167|L'ufficiale spagnolo/Il cuoco|"Cyrano de Bergerac"
1241|Madame Lidoine|"Les dialogues des Carmélites"
500|Girasole|"Il mondo alla rovescia"
3254|Visual|Gala Pucciniano
2544|Une Italienne, un fantôme, une bergère|"Médée"
2926|Sparafucile / Monterone|"Rigoletto"
2058|Erster Priester|"Die Zauberflote"
3829|Erster Priester (Primo sacerdote)|"Die Zauberflöte"
3373|Primo armigero|"Die Zauberflöte" (Il Flauto Magico)
1050|Uno scita|"Don Pasquale", "Iphigénie en Tauride"
1254|Anselmo|"La mulata de Córdoba", "La vida breve"
340|Maria Stuarda|"Maria Stuarda"
3152|Rosina, baronessa ungherese|"La finta semplice"
706|Curra|"La forza del destino"
259|Dr. Kolenaty|"L'Affare Makropulos"
3677|La Fortuna / Poppea|"L'incoronazione di Poppea"
1205|La Roche|"Capriccio"
423|Nerone|"L'incoronazione di Poppea"
3078|Bottom / Pyramus|"The Fairy Queen"
3885|Licinius|"La Vestale"
3349|Le spectre d’Hector|Trionfano
1982|Nikitič|"Boris Godunov"
3402|Pollione, proconsole romano nelle Gallie|"Norma"
2833|Donna Peppenella|“Napoli milionaria”
1401|Lord Percy|"Anna Bolena"
3449|Didone, Prima strega, marinaio|"Dido and Aeneas" al Teatro Carignano
2529|Clytemnestre|"Iphigénie en Aulide" di Gluck
114|Primi ballerini|"Aida"
1699|Un clochard|"La Cecchina, ossia la buona figliuola"
1659|Il Tempo / Nettuno|-
4102|Madelon|"Andrea Chénier"
3768|Evandro|"Alceste"
1380|Primo Console|"La battaglia di Legnano"
3294|Ospite I|"La metamorfosi"
3706|Katchen|"Werther"
1314|Il Maestro|"The Greek Passion"
622|Elisabeth|"Tannhäuser"
585|Didone|"La Didone"
1490|Mendicante|"L'Opera da tre soldi"
257|Albert Gregor|"Věc Makropulos"
4043|Zweite Norn / Wellgunde|"Götterdämmerung"
3002|Enée|"Les Troyens"
2260|Demetrius, innamorato di Hermia|"A Midsummer night's dream"
3487|Dorotka|"Švanda dudák"
462|Wellgunde|“Götterdämmerung”
2660|Otello, moro, generale dell'armata veneta|"Otello"
2668|Massimiliano, conte di Moor|-
3413|Tom Rakewell|"The rake's progress"
1769|Il duca di Nottingham|"Roberto Devereux"
553|Maffio Orsini|"Lucrezia Borgia"
2288|Momus|"Platée"
2794|Fenella, sua sorella, la muta|"La muette de Portici"
1227|Un’inserviente|"Věc Makropulos"
3277|Il Conte Danilo Danilowitch|"La Vedova allegra"
3665|Enrichetta di Francia, regina d’Inghilterra|"I puritani"
1035|Siegrune|un "Ring" che avrebbe reso Wagner orgoglioso
1783|Fenton|"Falstaff"
2638|Oscar, paggio|"Un ballo in maschera"
499|Amaranto|"Il mondo alla rovescia"
2068|Il Pretore|"La gazza ladra"
646|Polizist|"Der ferne klang"
1961|Aiutanti di Don Pasquale|"Don Pasquale"
485|Clotilde|"Norma"
2798|Der Steuermann|"L'Olandese volante"
4218|Mr. Upfold|"Albert Herring"
975|José Castro|"La fanciulla del West"
847|Ceprano|"Rigoletto"
1776|Juno|"Semele"
2230|Ganadero|"La Chulapona"
50|Mimì|"La Bohéme"
884|Charito|Lima,"La Leyenda
3825|Dritter Knabe (Terzo fanciullo)|"Die Zauberflöte"
2887|Un vecchio ebreo|"Samson et Dalila"
4152|Seconda fatina|"La donna serpente" di Alfredo Casella
2129|Nyssia|"Der König Kandaules"
217|Toms Blunt|"Der Vampyr"
41|Un poliziotto|"Il Naso"
2380|Florville|"Il Signor Bruschino"
1116|Medico/Domestico|"Macbeth"
878|Sharpless,Console|"Madama Butterfly"
2652|Ježibaba|"Rusalka" al San Carlo di Napoli
3696|Gabriel von Eisenstein|"Il Pipistrello"
2133|Sebas|"Der König Kandaules"
3746|Adina, ricca e capricciosa fittaiuola|"L'elisir d'amore"
1443|Saint-Francois|"Saint-Francois d'Assise"
1807|La Marchesa Melibea|"Il viaggio a Reims"
670|König Ludwig VI|"Euryanthe"
252|Lord Arturo|"Lucia di Lammermoor"
1625|Yon güell|"El Trust de los tenorios", "El Puñao de rosas"
1323|Padre Ladas, Commentator|"The Greek Passion"
3635|Prima suora|“Goyescas” e “Suor Angelica” al Teatro Regio di Torino
2175|Edmondo|“Manon Lescaut” per l’Orchestra Sinfonica Siciliana
4090|Béatrice|"Béatrice et Bénédict"
4127|Der Gatte|"Reigen" di Philippe Boesmans
3897|Ragazzo del risciò 4|"Il ragazzo del risciò" al Teatro Regio di Torino
2470|Stefano Colonna|"Rienzi"
885|Conde Mario|Lima,"La Leyenda
1174|Il Mago|"Peer Gynt"
755|Violinista|"Gigi"
3588|La Madre di Butterfly|"Madama Butterfly"
1313|Dimitri|"The Greek Passion"
