KARAS|Bruno Maderna,Henry Purcell|Danzatori: Compagnia|Fenice|Maderna e Purcell|Saburo Teshigawara|Saburo Teshigawara,Attilio Cremonesi
ANN HALLNBERG|Bruno Maderna,Henry Purcell|Didone|Fenice|Maderna e Purcell|Saburo Teshigawara|Saburo Teshigawara,Attilio Cremonesi
MARLIN  MILLER|Bruno Maderna,Henry Purcell|Enea|Fenice|Maderna e Purcell|Saburo Teshigawara|Saburo Teshigawara,Attilio Cremonesi
JULIANNE  YOUNG|Bruno Maderna,Henry Purcell|Fenice|La maga|Maderna e Purcell|Saburo Teshigawara|Saburo Teshigawara,Attilio Cremonesi
SABRINA  VIANELLO|Bruno Maderna,Henry Purcell|Fenice|Maderna e Purcell|Prima strega|Saburo Teshigawara|Saburo Teshigawara,Attilio Cremonesi
ELENA  TRAVERSI|Bruno Maderna,Henry Purcell|Fenice|Maderna e Purcell|Saburo Teshigawara|Saburo Teshigawara,Attilio Cremonesi|Seconda strega
PATRIZIA  CIGNA|"Il mondo alla rovescia"|Antonio Saliero|Federico Maria Sardelli|La Colonnella|Marco Gandini|Verona, Teatro Filarmonico
MAURIZIO  LO PICCOLO|"Il mondo alla rovescia"|Antonio Saliero|Federico Maria Sardelli|Il Conte|Marco Gandini|Verona, Teatro Filarmonico
GIANPIERO  RUGGERI|"Il mondo alla rovescia"|Antonio Saliero|Federico Maria Sardelli|Il Comandante/Il Gran Colombo|Marco Gandini|Verona, Teatro Filarmonico
KRYSTIAN  ADAM|"Il mondo alla rovescia"|Antonio Saliero|Bruno Maderna,Henry Purcell|Federico Maria Sardelli|Fenice|Girasole|Maderna e Purcell|Marco Gandini|Saburo Teshigawara|Saburo Teshigawara,Attilio Cremonesi|Uno spirito/un marinaio|Verona, Teatro Filarmonico
MARCO FILIPPO  ROMANO|"Il mondo alla rovescia"|Antonio Saliero|Federico Maria Sardelli|La Generala|Marco Gandini|Verona, Teatro Filarmonico
ROSA  BOVE|"Il mondo alla rovescia"|Antonio Saliero|Federico Maria Sardelli|L’Ajutanta|Marco Gandini|Verona, Teatro Filarmonico
MARIA LAURA  MARTORANA|"Il mondo alla rovescia"|Antonio Saliero|Federico Maria Sardelli|La Marchesa|Marco Gandini|Verona, Teatro Filarmonico
