6850|Una cantatrice/Un’amica in viaggio|Il suono del silenzio
2758|Medea|"Il novello Giasone"
2950|Il Conte d'Almaviva|"Le nozze di Figaro"
6977|Il forzato vecchissimo|"Da una casa di morti"
3422|Galatea|"Acis and Galatea"
1585|L’ufficiale del registro|"Madama Butterfly"
9557|Don Magnifico|"La cenerentola"
9654|Enrico Ashton|"Lucia di Lammermoor"
9424|Don Eusebio|"L'occasione fa ladro"
5562|Gutrune|" Götterdämmerung"
24|Fernando|"La gazza ladra"
4552|MARCELO ALVAREZ e|"Luisa Miller"
2375|Berta|"Il Barbiere di Siviglia"
3561|Rigoletto|un grande successo
7079|Il sire di Béthune|"I Vespri Siciliani"
3911|Douniacha|"La Cerisaie" (Il giardino dei ciliegi)
8170|Principe Andrej Chovanskij|"Chovanščina"
4419|Goffredo|"Rinaldo"
9249|Cadmus|"The Bassarids"
3943|Ruprecht|"Ognenny Angel" (L'angelo di fuoco)
9694|Il Talpa|"Il Trittico" di Giacomo Puccini
3417|Marguerite|"La Damnation de Faust"
3743|Lord Rochefort|"Anna Bolena"
5550|Primo ballerini|"Aida"
6163|Lucia|“The Rape of Lucretia”
3985|La nutrice di Ksenija|"Boris Godunov"
1868|Njegus|"La Vedova Allegra"
8497|La Moglie del Giudice|"Jenufa"
3201|Ein junger diener|"Elektra"
4408|Il maestro di ballo / il lampionaio|“Manon Lescaut” per l’Orchestra Sinfonica Siciliana
5470|Pang|Zubin Mehta festeggia i cinquant’anni
7168|Lord Arturo|"Lucia di Lammermoor"
4306|Nadir|-
591|Giorgio Talbot|"Maria Stuarda"
3492|Madama Rosa|"Il campanello" e "Gianni Schicchi"
9253|Padre Guardiano|"La forza del destino"
9477|Gertrud|"Hänsel e Gretel"
4494|Don</em> <em>Epifanio|"La Chulapona"
7091|Inès|La Fenice
6965|Swallow|"Peter Grimes"
3435|Fiorello|"Il barbiere di Siviglia"
1883|Walter von der Vogelweide|"Tannhäuser"
2102|Curio|"Giulio Cesare"
8845|Erster Knabe (Primo fanciullo)|"Die Zauberflöte"
3467|Mimo|Un "Barbiere" sottotono
7033|Primo ballerino|"Jérusalem"
8312|Der junge Graf|“Die Soldaten” al Teatro alla Scala
7041|Papagena|"Il Flauto magico"
6133|Un Messagero Filisteo|"Samson et Dalila"
4978|Re Marke|"Tristan und Isolde"
2576|Panait|"The Greek Passion"
970|Masetto|"Don Giovanni"
6415|L’imperatore Altoum|"Turandot"
2416|Tre Ondine|"Rusalka"
4059|Leocasta|"Il Giustino"
2439|Salud|"La mulata de Córdoba", "La vida breve"
1654|Marchese D'Obigny|"La Traviata"
9759|Farzana e La corifea|"La donna serpente" di Alfredo Casella
1038|Elettra|"Idomeneo"
3910|Carlotta|"La Cerisaie" (Il giardino dei ciliegi)
3810|Eumolpe|"Iolanta" e "Perséphone"
2586|Trio Soprano|"La serva Padrona", "Trouble in Tahiti
1579|Madama Butterfly (Cio-cio-san)|"Madama Butterfly"
4455|Selim Pascià|"Il ratto dal serraglio"
664|Roxane|-
9034|Flaminio Castravacca|"Il trionfo dell'onore, ovvero dissoluto pentito"
1031|Kedril|"Da una casa di morti"
1306|Mercédès|Gustavo Dudamel dirige "Carmen"
7895|Rinuccio|"Il Trittico"
4715|Baldassare|"Ciro in Babilonia"
5105|Lucia|«Di ragion la trasse amore …». "Lucia di Lammermoor"
7555|Maestro Spinelloccio – Amanzio de Nicolao|"Eine florentinische tragödie/Gianni Schicchi"
7253|Il remendado|-
168|Tadzio|"Death in Venice"
1100|Un domestico|"Lulu"
2695|Uno Scudiero di Arrigo|"La battaglia di Legnano"
2990|Marziano|-
4999|Sir Bruno Roberton|Splendida lettura registica e vocale di "Puritani"
5197|Lord Arturo</em> <em>Bucklaw|"Lucia di Lammermoor" al Pergolesi di Jesi
540|Jacopo Loredano|-
1870|Praskowia|"La Vedova Allegra"
8768|Kostelnička Buryjovka|“Jenůfa”
5925|Un Arciere|"Francesca da Rimini"
2893|Dolly|"L'Opera da tre soldi"
6453|L'Olandese|"Der Fliegende Holländer"
2164|Il naso|"Il Naso"
1331|Silvio|"Cavalleria rusticana" e "Pagliacci"
7069|Regina della Notte|-
1924|Siegrune|"Die Walküre"
2228|Killer Queen|"We Will Rock You"
4894|Le Fauteuil / Un Arbre|"L’heure espagnole" e "L’Enfant et les Sortilèges"
1177|Milli / eine ender choristen|"Der ferne klang"
1895|Un Messo|“ Facciamo Trovatore… ”
1889|Prologo|"Cassandra" di Vittorio Gnecchi, gemma ta a splendere
3407|L’Ufficiale del Registro|"Madama Butterfly"
808|La Voce|"Idomeneo"
9743|Le Pape Clément VII|"Benvenuto Cellini" di Hector Berlioz
769|Jacopo Foscari|"I due Foscari"
7331|Tisbe|-
4172|Massimiliano Moor|"I Masnadieri" alTeatro di San Carlo
3147|Randilla|"El Trust de los tenorios", "El Puñao de rosas"
2824|Taddeo|"L'italiana in Algeri"
938|La truccatrice|"Cin-Ci-là"
8256|Magda|"La rondine"
8638|Il conte Loris Ipanov|"Fedora"
7058|Primo fanciullo|"Il Flauto magico"
2980|Aristea|Il Pergolesi Spontini Festival
8264|Seconda ninfa del bosco|"Rusalka"
2434|El tío Salvador|"La mulata de Córdoba", "La vida breve"
6998|Una voce|"Da una casa di morti"
7508|Domna Ivanovna Saburova|"Csarskaja Nevesta" ( sposa per lo Zar)
3107|Ortrud|"Lohengrin"
5541|Amonasro, Re d’Etiopia, padre di Aida|"Aida"
1120|Roméo|"Roméo et Juliette"
2787|Emilio|"Il cappello di paglia di Firenze"
8005|Melcthal|"Guillaume Tell"
282|Il folle cristo|"Boris Godunov"
1696|Il Barone Ochs|"Der Rosenkavalier"
4452|Costanza|"Il ratto dal serraglio"
8606|Cantaora|"El amor brujo" e "Cavalleria rusticana"
5802|Settimo poliziotto/terzo uomo|"Il Naso"
442|Silvio|"Von heute auf morgen", "Pagliacci"
4262|Mustafà|"L'Italiana in Algeri"
9627|Ginevra|"La cena delle beffe"
9439|Queen of Secresie|"The Fairy Queen"
5216|Danze|"La Gioconda"
1079|Dottor Dulcamara|"L'elisir d'amore"
6325|Triquet|ancora su “Evgenij Onegin” a Torino
6640|Gunther|un "Ring" che avrebbe reso Wagner orgoglioso
3424|Damon|"Acis and Galatea"
1708|Un cantante|"Der Rosenkavalier"
5218|Isèpo|"La Gioconda"
1369|Manuel y Maitre Duclos|"Gigi"
6211|Tebaldo|“Don Carlo”
2159|Il commissario di polizia del quartiere|"Il Naso"
9335|Emilio|“Partenope” di Händel
8205|Il Serenissimo/Lo spirito del bosco|"Čerevički"
6848|L’ermafrodito|Il suono del silenzio
4712|Santuzza|"Cavalleria rusticana"
1173|Erster Chorist|"Der ferne klang"
7624|Astyanax|Trionfano
3325|Emilia Marty|"Věc Makropulos"
2686|Federico Barbarossa|"La battaglia di Legnano"
9765|Seconda fatina|"La donna serpente" di Alfredo Casella
8265|Terza ninfa del bosco|"Rusalka"
7485|Almaviva|"Le nozze di Figaro"
3670|Hermann, Schlemil|"Les contes d'Hoffmann"
2426|La abuela|"La mulata de Córdoba", "La vida breve"
8829|Caterina|"L'Amico Fritz"
71|Secondo bracciante|"Lady Macbeth del distretto di Mzesnk"
9737|Benvenuto Cellini|"Benvenuto Cellini" di Hector Berlioz
1388|Laura|-
1486|Figaro|"Le nozze di Figaro"
4516|Venustiana|"La Chulapona"
2823|Mustafà|"L'italiana in Algeri"
1023|Cekunov|"Da una casa di morti"
8952|Vagaus|"Juditha Triumphans"
3728|Maximilian, Captain, Tsar Ivan|"Candide"
8011|Hedwige|"Guillaume Tell"
186|Don José|"Carmen"
8955|Attore|"L'elisir d'amore"
9401|Schaunard|"La Bohéme"
7953|Marie|"La fille du régiment"
6760|Maffio Orsini|"Lucrezia Borgia"
9101|Melisso|“Alcina”
97|Sonetka|"Lady Macbeth del distretto di Mzesnk"
7278|Tamino|"Il flauto magico"
5672|Pistola|-
7492|Paolo Albiani|Leo Nucci è Simon Boccanegra
6781|Fernando|"Il furioso all'isola di San Domingo"
7373|Il cavalier Astolfi|"Il Campiello" un "hit"
2158|Un pilota / Una voce|"La Gioconda"
498|Pong|"Turandot"
6026|Desdemona|“Otello”
6936|Il duca di Mantova|“Rigoletto”
6396|Il Conte di Luna|"Gala Verdi"
9293|Pritschitch|"La Vedova allegra"
2202|La venditrice di colletti|"Il Naso"
3247|Eumete|"Il ritorno di Ulisse in patria"
9704|Luigi|"Il Trittico" di Giacomo Puccini
6048|Elisetta|Il matrimonio segreto a Torino
9174|Un pastore / voce di un giovane marinaio|"Tristan und Isolde"
6789|Don Polidoro|"La finta semplice"
7827|La Madre di Cio-Cio-San|"Madama Butterfly"
7450|Raimondo Bidebent|"Lucia di Lammermoor"
5534|Terza apparizione|"Macbeth"
8183|Principe Vasilij Golitzyn|"Chovanščina"
315|Il Piacere,Clito,La Fama,Una nereiede|"La virtù de' strali d'amore"
63|Cocchiere|"Lady Macbeth del distretto di Mzesnk"
4466|Der Einarmige|"Die Frau ohne Schatten"
4627|Prima contadina|"Le nozze di Figaro"
7860|Sellem|"The rake's progress"
6518|Fenena|Ancora “Nabucco”
9272|Camille de Rossillon|"La Vedova allegra"
8811|Tracolin|"Le Toréador" e "Cavalleria Rusticana"
4114|Il Cieco|"Iris"
1153|Der Graf|"Der ferne klang"
648|Ramfis|-
3010|Lolita, Prima damigella della sposa|"Heart of a Soldier"
772|Pisana|"I due Foscari"
4250|Stankar|"Stiffelio"
5526|Massimiliano, conte di Moor|-
3738|Giovanna di Seymour|"Anna Bolena"
4923|Vendedora segunda|"El amor brujo" e "La vida breve"
6366|Un servo di Amelia|"Un ballo in maschera"
9406|Musetta|"La Bohéme"
6662|Un carceriere|"Tosca" a Torre
269|Marina Mnisek|"Boris Godunov"
4422|Bertran|"Robert le diable"
4197|Ragonde|"Le comte Ory"
7841|Kurvenal|"Tristan und Isolde"
1130|Paolo Albiani|"Simon Boccanegra"
9068|Il Duca di Nottingham|“Roberto Devereux”
6648|Siegfried|un "Ring" che avrebbe reso Wagner orgoglioso
7599|Marcello, pittore|"La Bohme"
429|L'amica|"Von heute auf morgen", "Pagliacci"
5803|Terzo conoscente di Kovalĕv|"Il Naso"
1816|Moise|"Moise et Pharaon"
4770|Ottario|"Belisario"
824|Gunther|"Götterdämmerung"
1421|Gianni Schicchi|"Suor Angelica" e "Gianni Schicchi"
5114|Dancaïre|La liberté!» Carmen al Regio di Torino
7759|L’Héraut|"L'amour des trois oranges"
9229|Gastone / Visconte di Letorières|"La Traviata"
3574|Mrs. Quickly|"Falstaff"
3121|Bartolo|-
3859|Soldati|"Salome"
5858|Jago|"Otello"
4659|Junon|"Platée"
1519|Seconda Ancella|"Medea"
5289|Suor Angelica|Il "Trittico" secondo Michieletto
7003|Don Polidoro|"La finta semplice"
4310|Amina|-
714|Una schiava|-
9216|Silvia|Il dittico "Zanetto/Cavalleria Rusticana"
8289|Un ospite ubriaco/Un cocchiere/Primo bracciante|"Lady Macbeth del distretto di Mcensk"
4005|Konečný|"Die glückliche Hand" e "Osud"
3599|Don Alvaro|"Il viaggio a Reims"
1488|Susanna|"Le nozze di Figaro"
5403|Un pilota|Magia
4379|L'ufficiale spagnolo/Il cuoco|"Cyrano de Bergerac"
975|Don Bartolo|"Il Barbiere di Siviglia"
9574|Somarone|"Béatrice et Bénédict"
1577|La madre di Cio-Cio-san|"Madama Butterfly"
6232|Marsias|"Viento (es la dicha de Amor)"
9745|Teresa|"Benvenuto Cellini" di Hector Berlioz
6104|Servilia, sorella di Sesto e amante di Annio|"La Clemenza di Tito"
3900|Macha|"Pikovaja Dama" (La dama di picche)
3707|Inquisitor II,  Croupier|"Candide"
702|Salome|-
1606|Charito|Lima,"La Leyenda
7794|Oroveso, capo dei druidi|"Norma"
3555|Il Duca di Mantova|un grande successo
7803|Dorabella, dame ferraresi e sorelle|"Così fan tutte"
8100|Tolomeo, re d’Egitto, fratello di Cleopatra|“Giulio Cesare” di Händel
6552|Malcom Groeme|«Come resistere / a tanti affetti!» “La Donna
3061|Leporello,|Il ritorno di "Don Giovanni"
6294|Un domestico|"Macbeth"
3047|Lord Arturo</em> <em>Bucklaw|"Lucia di Lammermoor"
3046|Raimondo Bidebant|"Lucia di Lammermoor"
457|Jaroslav Prus|"L'Affare Makropulos"
