DANIELA PINI|Angelina (Cenerentola),LA CENERENTOLA|Teatro Regio  Stagione lirica 2015/2016
GIORGIO MISSERI|Don Ramiro,LA CENERENTOLA|Teatro Regio  Stagione lirica 2015/2016
DAVIDE BARTOLUCCI|Dandini,LA CENERENTOLA|Teatro Regio  Stagione lirica 2015/2016
MARCO FILIPPO ROMANO|Don Magnifico,LA CENERENTOLA|Teatro Regio  Stagione lirica 2015/2016
SIMON LIM|Alidoro,LA CENERENTOLA|Teatro Regio  Stagione lirica 2015/2016
GIULIANA GIANFALDONI|Clorinda,LA CENERENTOLA|Teatro Regio  Stagione lirica 2015/2016
LORIANA CASTELLANO|Tisbe,LA CENERENTOLA|Teatro Regio  Stagione lirica 2015/2016
CHRISTOPHER PURVES|The Protector,WRITTEN ON SKIN|Madrid, Teatro Real, Temporada 2015-2016
BARBARA HANNIGAN|Agnes,WRITTEN ON SKIN|Madrid, Teatro Real, Temporada 2015-2016
TIM MEAD|The Boy / First Angel,WRITTEN ON SKIN|Madrid, Teatro Real, Temporada 2015-2016
VICTORIA SIMMONDS|Marie / Second Angel,WRITTEN ON SKIN|Madrid, Teatro Real, Temporada 2015-2016
ROBERT MURRAY|John / Third Angel,WRITTEN ON SKIN|Madrid, Teatro Real, Temporada 2015-2016
LANCE RYAN|Siegfried,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
SAMUEL YOUN|Gunther,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
PETER KNIG|Hagen HANS-,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
OSKAR HILLEBRANDT|Alberich,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
IRNE THEORIN|Brnnhilde,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
JACQUELYN WAGNER|Gutrune,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
MICHAELA SCHUSTER|Waltraute,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
CRISTINA FAUS|Prima Norma,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
PILAR VZQUEZ|Seconda Norna,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
JACQUELYN WAGNER|Terza Norna,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
ISABELLA GAUD|Woglinde,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
ANN ALS I JOV|Wellgunde,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
MARINA PINCHUK|Flosshilde,GTTERDMMERUNG|Barcelona, Gran Teatre del Liceu  Temporada 2015/2016
JOHN OSBORN|Benvenuto Cellini,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
NICOLA ULIVIERI|Giacomo Balducci,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
ALESSANDRO LUONGO|Fieramosca,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
VII MARCO SPOTTI|Le Pape Clment,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
MATTEO FALCIER|Francesco,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
GRAZIANO DALLAVALLE|Bernardino,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
ANDREA GIOVANNINI|Pompeo,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
VLADIMIR REUTOV|Cabaretier,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
MARIANGELA SICILIA|Teresa,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
VARDUHI ABRAHAMYAN|Ascanio,BENVENUTO CELLINI|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
MARIELLA DEVIA|Elisabetta, regina dInghilterra,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
SONIA GANASSI|Sara, duchessa di Nottingham,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
STEFAN POP|Roberto Devereux, conte di Essex,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
MANSOO KIM|Il Duca di Nottingham,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
ALESSANDRO FANTONI|Lord Cecil,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
CLAUDIO OTTINO|Sir Gualtiero Raleigh,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
MATTEO ARMANINO|Un paggio,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
