2007|08|Antonio|COSIMO PANOZZO|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Desdemona|OLGA PERETYATKO|"Otello" al Rossini Opera Festival|Rossini Opera Festival|"Otello"|Gioachino Rossini|Renato Palumbo|Giancarlo Del Monaco
2007|08|Doge|ALDO BOTTION|"Otello" al Rossini Opera Festival|Rossini Opera Festival|"Otello"|Gioachino Rossini|Renato Palumbo|Giancarlo Del Monaco
2007|08|Elmiro|MIRKO PALAZZI|"Otello" al Rossini Opera Festival|Rossini Opera Festival|"Otello"|Gioachino Rossini|Renato Palumbo|Giancarlo Del Monaco
2007|08|Emilia|MARIA GORTSEVSKAYA|"Otello" al Rossini Opera Festival|Rossini Opera Festival|"Otello"|Gioachino Rossini|Renato Palumbo|Giancarlo Del Monaco
2007|08|Ernesto/Il pretore|MATTEO FERRARA|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Fabrizio|PAOLO BORDOGNA|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Fernando|ALEX ESPOSITO|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Giannetto|DMITRI KORCHAK|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Giorgio|VITTORIO PRATO|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Gottardo, il podestà|MICHELE PERTUSI|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Iago|MANUEL ZAPATA|"Otello" al Rossini Opera Festival|Rossini Opera Festival|"Otello"|Gioachino Rossini|Renato Palumbo|Giancarlo Del Monaco
2007|08|Isacco|STEFAN CIFOLELLI|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Lucia|KLEOPATRA PAPATHEOLOGOU|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Lucio/Gondoliero|ENRICO IVIGLIA|"Otello" al Rossini Opera Festival|Rossini Opera Festival|"Otello"|Gioachino Rossini|Renato Palumbo|Giancarlo Del Monaco
2007|08|Ninetta|MARIOLA CANTARERO|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Otello|GREGORY KUNDE|"Otello" al Rossini Opera Festival|Rossini Opera Festival|"Otello"|Gioachino Rossini|Renato Palumbo|Giancarlo Del Monaco
2007|08|Pippo|MANUELA CUSTER|Pesaro, Rossini Opera Festival 2007: "La gazza ladra" |Pesaro, Rossini Opera Festival 2007|"La gazza ladra"|Gioachino Rossini|Lü Ja|Damiano Michieletto
2007|08|Rodrigo|JUAN DIEGO FLOREZ|"Otello" al Rossini Opera Festival|Rossini Opera Festival|"Otello"|Gioachino Rossini|Renato Palumbo|Giancarlo Del Monaco
2008|06|Abimelech|MARIO LUPERI|Samson et Dalila al Comunale di Bologna|-|-|Camille Saint-saëns|Eliahu Inbal|Michal Znaniecki
2008|06|Dalila|JULIA GERTSEVA|Samson et Dalila al Comunale di Bologna|-|-|Camille Saint-saëns|Eliahu Inbal|Michal Znaniecki
2008|06|Duca di Nottingham|PAOLO RUMETZ|"Roberto Devereux" a Pordenone|-|-|Gaetano Donizetti|Bruno Campanella|Francesco Bellotto
2008|06|Due filistei|PAOLO CAUTERUCCIO, MAURO CORONA|Samson et Dalila al Comunale di Bologna|-|-|Camille Saint-saëns|Eliahu Inbal|Michal Znaniecki
2008|06|Due sacerdoti|GREGORY BONFATTI, DAVIDE PELLISSIERO|Milano, Teatro alla Scala: "Il prigioniero", "Il castello del duca Barbablù"|Milano, Teatro alla Scala|"Il prigioniero", "Il castello del duca Barbablù"|Béla Bartók|Daniel Harding|Peter Stein
2008|06|Elisabetta I|NELLY MIRICIOIU|"Roberto Devereux" a Pordenone|-|-|Gaetano Donizetti|Bruno Campanella|Francesco Bellotto
2008|06|Gran Sacerdote|MARK RUCKER|Samson et Dalila al Comunale di Bologna|-|-|Camille Saint-saëns|Eliahu Inbal|Michal Znaniecki
2008|06|Il duca|GABOR BRETZ|Milano, Teatro alla Scala: "Il prigioniero", "Il castello del duca Barbablù"|Milano, Teatro alla Scala|"Il prigioniero", "Il castello del duca Barbablù"|Béla Bartók|Daniel Harding|Peter Stein
2008|06|Il grande Inquisitore|KIM BEGLEY|Milano, Teatro alla Scala: "Il prigioniero", "Il castello del duca Barbablù"|Milano, Teatro alla Scala|"Il prigioniero", "Il castello del duca Barbablù"|Béla Bartók|Daniel Harding|Peter Stein
2008|06|Il prigioniero|VITO PRIANTE|Milano, Teatro alla Scala: "Il prigioniero", "Il castello del duca Barbablù"|Milano, Teatro alla Scala|"Il prigioniero", "Il castello del duca Barbablù"|Béla Bartók|Daniel Harding|Peter Stein
2008|06|Judit|ELENA ZHIDKOVA|Milano, Teatro alla Scala: "Il prigioniero", "Il castello del duca Barbablù"|Milano, Teatro alla Scala|"Il prigioniero", "Il castello del duca Barbablù"|Béla Bartók|Daniel Harding|Peter Stein
2008|06|La madre|PAOLETTA MARROCU|Milano, Teatro alla Scala: "Il prigioniero", "Il castello del duca Barbablù"|Milano, Teatro alla Scala|"Il prigioniero", "Il castello del duca Barbablù"|Béla Bartók|Daniel Harding|Peter Stein
2008|06|Lord Cecil|SAVERIO BAMBI|"Roberto Devereux" a Pordenone|-|-|Gaetano Donizetti|Bruno Campanella|Francesco Bellotto
2008|06|Messaggero|CRISTIANO OLIVIERI|Samson et Dalila al Comunale di Bologna|-|-|Camille Saint-saëns|Eliahu Inbal|Michal Znaniecki
2008|06|Prologo|EORS KISFALUDY|Milano, Teatro alla Scala: "Il prigioniero", "Il castello del duca Barbablù"|Milano, Teatro alla Scala|"Il prigioniero", "Il castello del duca Barbablù"|Béla Bartók|Daniel Harding|Peter Stein
2008|06|Roberto Devereux|ROBERTO DE BIASIO|"Roberto Devereux" a Pordenone|-|-|Gaetano Donizetti|Bruno Campanella|Francesco Bellotto
2008|06|Samson|JOSÉ CURA|Samson et Dalila al Comunale di Bologna|-|-|Camille Saint-saëns|Eliahu Inbal|Michal Znaniecki
2008|06|Sara|LAURA POLVERELLI|"Roberto Devereux" a Pordenone|-|-|Gaetano Donizetti|Bruno Campanella|Francesco Bellotto
2008|06|Sir Gualtiero|SLAVKO SEKULIC|"Roberto Devereux" a Pordenone|-|-|Gaetano Donizetti|Bruno Campanella|Francesco Bellotto
2008|06|Un paggio|SEON YOUNG PAK|"Roberto Devereux" a Pordenone|-|-|Gaetano Donizetti|Bruno Campanella|Francesco Bellotto
2008|06|Vecchio ebreo|IVICA CIKES|Samson et Dalila al Comunale di Bologna|-|-|Camille Saint-saëns|Eliahu Inbal|Michal Znaniecki
2008|07|Aksin'ja|NANÀ MIRIANI|Firenze, Teatro Comunale:"Lady Macbeth del distretto di Mzesnk"|Firenze, Teatro Comunale|"Lady Macbeth del distretto di Mzesnk"|Dimitrij Sostakovic|James Conlon|Lev Dodin
2008|07|Alcindoro|MATTEO PEIRONE|Milano, Teatro alla Scala:"La Bohème"|Milano, Teatro alla Scala|"La Bohème"|Giacomo Puccini|Gustavo Dudamel|Franco Zeffirelli
2008|07|Aleksej|MISHA DIDYK|Teatro alla Scala:"Il Giocatore" (Igrok')|Teatro alla Scala|"Il Giocatore" (Igrok')|Bruno Casoni|Daniel Barenboim|Dmitri Tcherniakov
2008|07|Alfredo Germont|JOSÉ BROS|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Annina|BERNADETTE LUCCARINI|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Barone Douphol|FILIPPO BETTOSCHI|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Benoit|DOMENICO COLAIANNI|Milano, Teatro alla Scala:"La Bohème"|Milano, Teatro alla Scala|"La Bohème"|Giacomo Puccini|Gustavo Dudamel|Franco Zeffirelli
2008|07|Blanche|SILVIA DE LA MEULA|Teatro alla Scala:"Il Giocatore" (Igrok')|Teatro alla Scala|"Il Giocatore" (Igrok')|Bruno Casoni|Daniel Barenboim|Dmitri Tcherniakov
2008|07|Boris|VLADIMIR VANEEV|Firenze, Teatro Comunale:"Lady Macbeth del distretto di Mzesnk"|Firenze, Teatro Comunale|"Lady Macbeth del distretto di Mzesnk"|Dimitrij Sostakovic|James Conlon|Lev Dodin
2008|07|Capo della polizia|VALDIMIR MATORIN|Firenze, Teatro Comunale:"Lady Macbeth del distretto di Mzesnk"|Firenze, Teatro Comunale|"Lady Macbeth del distretto di Mzesnk"|Dimitrij Sostakovic|James Conlon|Lev Dodin
2008|07|Cocchiere|SAVERIO BAMBI|Firenze, Teatro Comunale:"Lady Macbeth del distretto di Mzesnk"|Firenze, Teatro Comunale|"Lady Macbeth del distretto di Mzesnk"|Dimitrij Sostakovic|James Conlon|Lev Dodin
2008|07|Colline|GIORGIO GIUSEPPINI|Milano, Teatro alla Scala:"La Bohème"|Milano, Teatro alla Scala|"La Bohème"|Giacomo Puccini|Gustavo Dudamel|Franco Zeffirelli
2008|07|Commissionario|ERNESTO PANNARIELLO|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Domestico di Flora|MATTIA DENTI|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Dottor Grenvil|FRANCESCO MUSINU|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Fantasma di Boris|VALDIMIR VANEEV|Firenze, Teatro Comunale:"Lady Macbeth del distretto di Mzesnk"|Firenze, Teatro Comunale|"Lady Macbeth del distretto di Mzesnk"|Dimitrij Sostakovic|James Conlon|Lev Dodin
2008|07|Flora|DAMIANA PINTI|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Gastone|CARLO BOSI|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Giorgio Germont|RENATO BRUSON|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Giuseppe|MASSIMILIANO LUCIANI|Teatro alla Scala: "La Traviata"|Teatro alla Scala|"La Traviata"|Giuseppe Verdi|Carlo Montanaro|Liliana Cavani
2008|07|Il Barone Wurmerhelm|ALESSANDRO PALIAGA|Teatro alla Scala:"Il Giocatore" (Igrok')|Teatro alla Scala|"Il Giocatore" (Igrok')|Bruno Casoni|Daniel Barenboim|Dmitri Tcherniakov
2008|07|Il Generale|VLADIMIR OGNOVENKO|Teatro alla Scala:"Il Giocatore" (Igrok')|Teatro alla Scala|"Il Giocatore" (Igrok')|Bruno Casoni|Daniel Barenboim|Dmitri Tcherniakov
