DANIELA PINI,Angelina (Cenerentola)|LA CENERENTOLA
GIORGIO MISSERI,Don Ramiro|LA CENERENTOLA
DAVIDE BARTOLUCCI,Dandini|LA CENERENTOLA
MARCO FILIPPO ROMANO,Don Magnifico|LA CENERENTOLA
SIMON LIM,Alidoro|LA CENERENTOLA
GIULIANA GIANFALDONI,Clorinda|LA CENERENTOLA
LORIANA CASTELLANO,Tisbe|LA CENERENTOLA
CHRISTOPHER PURVES,The Protector|WRITTEN ON SKIN
BARBARA HANNIGAN,Agnes|WRITTEN ON SKIN
TIM MEAD,The Boy / First Angel|WRITTEN ON SKIN
VICTORIA SIMMONDS,Marie / Second Angel|WRITTEN ON SKIN
ROBERT MURRAY,John / Third Angel|WRITTEN ON SKIN
LANCE RYAN,Siegfried|GTTERDMMERUNG
SAMUEL YOUN,Gunther|GTTERDMMERUNG
PETER KNIG,Hagen HANS-|GTTERDMMERUNG
OSKAR HILLEBRANDT,Alberich|GTTERDMMERUNG
IRNE THEORIN,Brnnhilde|GTTERDMMERUNG
JACQUELYN WAGNER,Gutrune|GTTERDMMERUNG
MICHAELA SCHUSTER,Waltraute|GTTERDMMERUNG
CRISTINA FAUS,Prima Norma|GTTERDMMERUNG
PILAR VZQUEZ,Seconda Norna|GTTERDMMERUNG
JACQUELYN WAGNER,Terza Norna|GTTERDMMERUNG
ISABELLA GAUD,Woglinde|GTTERDMMERUNG
ANN ALS I JOV,Wellgunde|GTTERDMMERUNG
MARINA PINCHUK,Flosshilde|GTTERDMMERUNG
JOHN OSBORN,Benvenuto Cellini|BENVENUTO CELLINI
NICOLA ULIVIERI,Giacomo Balducci|BENVENUTO CELLINI
ALESSANDRO LUONGO,Fieramosca|BENVENUTO CELLINI
VII MARCO SPOTTI,Le Pape Clment|BENVENUTO CELLINI
MATTEO FALCIER,Francesco|BENVENUTO CELLINI
GRAZIANO DALLAVALLE,Bernardino|BENVENUTO CELLINI
ANDREA GIOVANNINI,Pompeo|BENVENUTO CELLINI
VLADIMIR REUTOV,Cabaretier|BENVENUTO CELLINI
MARIANGELA SICILIA,Teresa|BENVENUTO CELLINI
VARDUHI ABRAHAMYAN,Ascanio|BENVENUTO CELLINI
MARIELLA DEVIA,Elisabetta, regina dInghilterra|ROBERTO DEVEREUX
SONIA GANASSI,Sara, duchessa di Nottingham|ROBERTO DEVEREUX
STEFAN POP,Roberto Devereux, conte di Essex|ROBERTO DEVEREUX
MANSOO KIM,Il Duca di Nottingham|ROBERTO DEVEREUX
ALESSANDRO FANTONI,Lord Cecil|ROBERTO DEVEREUX
CLAUDIO OTTINO,Sir Gualtiero Raleigh|ROBERTO DEVEREUX
MATTEO ARMANINO,Un paggio|ROBERTO DEVEREUX
ALESSIO BIANCHINI,Un familiare di Nottingham|ROBERTO DEVEREUX
DEOS,Mimi|ROBERTO DEVEREUX
MARCO CARIA,Enrico Ashton|LUCIA DI LAMMERMOOR
ELENA MOSUC,Miss Lucia|LUCIA DI LAMMERMOOR
GIORGIO BERRUGI,Edgardo di Ravenswood|LUCIA DI LAMMERMOOR
LUCA TITTOTO,Raimondo Bidebant|LUCIA DI LAMMERMOOR
PATRIZIA GENTILE,Alisa|LUCIA DI LAMMERMOOR
EMANUELE DAGUANNO,Arturo|LUCIA DI LAMMERMOOR
FRANCESCO PITTARI,Normanno|LUCIA DI LAMMERMOOR
ROBERTO ARONICA,Don Jos|CARMEN
SIMONE ALBERGHINI,Escamillo|CARMEN
MAURIZIO LEONI,Le Dancare|CARMEN
PAOLO ANTOGNETTI,Le Remendado|CARMEN
NICOL CERIANI,Morals|CARMEN
MASSIMILIANO CATELLANI,Zuniga|CARMEN
VERONICA SIMEONI,Carmen|CARMEN
MARIA KATZARAVA,Micala|CARMEN
SONIA CIANI,Frasquita|CARMEN
ANTONELLA COLAIANNI,Mercds|CARMEN
LUCIA MICHELAZZO,Una venditrice di arance|CARMEN
SANDRO PUCCI,Uno zingaro|CARMEN
ALESSANDRO CIARDINI,Lillas Pastia|CARMEN
LUCA DALLAMICO,Don Giovanni|DON GIOVANNI
FEDERICO BENETTI,Il Commendatore|DON GIOVANNI
DAVIDE GIUSTI,Don Ottavio|DON GIOVANNI
PIETRO SPAGNOLI,Mustaf|LITALIANA IN ALGERI
DAMIANA MIZZI,Elvira|LITALIANA IN ALGERI
LAMIA BEUQUE,Zulma|LITALIANA IN ALGERI
SERGIO VITALE,Haly|LITALIANA IN ALGERI
BOYD OWEN,Lindoro|LITALIANA IN ALGERI
MARIANNA PIZZOLATO,Isabella|LITALIANA IN ALGERI
OMAR MONTANARI,Taddeo|LITALIANA IN ALGERI
ALESSANDRO SCOTTO DI LUZIO,Il duca di Mantova|RIGOLETTO
LEO AN,Rigoletto|RIGOLETTO
MIHAELA MARCU,Gilda|RIGOLETTO
GIANLUCA BREDA,Sparafucile|RIGOLETTO
CLARISSA LEONARDI,Maddalena|RIGOLETTO
ALICE MARINI,Giovanna|RIGOLETTO
ALESSIO VERNA,Il conte di Monterone|RIGOLETTO
TOMMASO BAREA,Il cavaliere Marullo|RIGOLETTO
ANTONELLO CERON,Matteo Borsa|RIGOLETTO
ROMANO DAL ZOVO,Il conte di Ceprano|RIGOLETTO
FRANCESCA MICARELLI,La contessa di Ceprano / Un paggio|RIGOLETTO
DARIO GIORGEL,Un usciere di Corte|RIGOLETTO
MARC LAHO,Hoffmann|LES CONTES DHOFFMANN
SOPHIE MARILLEY,La Muse / Nicklausse|LES CONTES DHOFFMANN
ALEX ESPOSITO,Lindorf / Copplius / Docteur Miracle / Dapertutto|LES CONTES DHOFFMANN
TORSTEN HOFMANN,Andres/Cochenille/Franz/Pitichinaccio|LES CONTES DHOFFMANN
ANA DURLOVSKY,Olympia|LES CONTES DHOFFMANN
MANDY FREDRICH,Antonia|LES CONTES DHOFFMANN
SIMONE SCHNEIDER,Giulietta|LES CONTES DHOFFMANN
ALTEA GARRIDO,Stella|LES CONTES DHOFFMANN
DOMINIC GROE,Hermann|LES CONTES DHOFFMANN
ERIC ANDER,Schlmil|LES CONTES DHOFFMANN
THOMAS ELWIN,Nathanal|LES CONTES DHOFFMANN
VALENTINE,Spalanzani GRAHAM F.|LES CONTES DHOFFMANN
MARIA THERESA ULLRICH,La Voix de la Tombe|LES CONTES DHOFFMANN
ROLAND BRACHT,Matre Luther / Crespel|LES CONTES DHOFFMANN
