ROSENDO FLORES;Ferrando|IL TROVATORE;1
IV;Georges Bizet: CARMEN Atto|Fondazione Arena di Verona  87 Festival 2009;1
PHILLIP ADDIS;Billy Budd|BILLY BUDD;2
CONCETTO RAMETTA;Usciere|RIGOLETTO;2
ELENA TSALLAGOVA;Berenice|LOCCASIONE FA IL LADRO;1
WILLARD WHITE;Seneca|POPPEA E NERONE (LIncoronazione di Poppea);1
VITTORIA LAI;Annina|LA TRAVIATA;1
GRAZIANO SCHIAVONE;Oebalus|APOLLO ET HYACINTHUS;1
DEOS;Mimi|ROBERTO DEVEREUX;1
CHIARA MATTIOLI;Lola|CAVALLERIA RUSTICANA;1
LUCIO MAUTI;Gaudenzio|IL SIGNOR BRUSCHINO ossia Il figlio per azzardo;1
ALBERTO GAZALE;Jago|OTELLO;1
IVONNE FUCHS;Amastre|Auditorio Nacional de Msica de Madrid;1
MATTEO MEZZARO;Rustighello|LUCREZIA BORGIA;1
GIORGIO CAODURO;Marcello|LA BOHME;1
VI LUKAS SCHMIDT;Knig Ludwig|EURYANTHE;1
PAOLO ANTOGNETTI;Le Remendado|CARMEN;1
ALESSANDRO LUONGO;Belcore|LELISIR DAMORE;1
GIAMPAOLO LEDDA;Servi CRISTIANO BARROVECCHIO,|DON QUICHOTTE;1
EVELYN HERLITZIUS;La Principessa Turandot|TURANDOT;2
GABRIELE CORRADO;Coppia selvaggi SABRINA BRAZZO,|AIDA;1
KERSTIN AVEMO;Maid, Confidante, Waitress, Mistress, Rubbernecker, Society journalist|POWDER HER FACE;1
KEITH JAMESON;Ser Toldo|FRANCESCA DA RIMINI;1
JEANNETTE FISCHER;Clorinda|LA CENERENTOLA;1
NATHALIE MANFRINO;Cllia Conti|LA CHARTREUSE DE PARME (La Certosa di Parma);1
VALERIO NAPOLI;Ambrogio|IL BARBIERE DI SIVIGLIA;2
DAVIDE PELISSERO;Sciarrone|TOSCA;2
EVGENY NIKITIN;Conte Tomsky|PIKOVAJA DAMA (La dama di Picche);1
CHARO REINA;Venustiana|LA CHULAPONA;1
ANJA HARTEROS;Aida|AIDA;1
ALBERTO MASTROMARINO;Barnaba|LA GIOCONDA;1
CERI WILLIAMS;Prima Norna|GTTERDMMERUNG (Il crepuscolo degli dei);1
CRISTIANO OLIVIERI;Un maestro|LADY MACBETH DEL DISTRETTO DI MZENSK;1
JULIANNA DI GIACOMO;Desdemona|OTELLO;1
