LANCE RYAN;Siegfried
SAMUEL YOUN;Gunther
PETER KNIG;Hagen HANS-
OSKAR HILLEBRANDT;Alberich
IRNE THEORIN;Brnnhilde
JACQUELYN WAGNER;Gutrune
MICHAELA SCHUSTER;Waltraute
CRISTINA FAUS;Prima Norma
PILAR VZQUEZ;Seconda Norna
JACQUELYN WAGNER;Terza Norna
ISABELLA GAUD;Woglinde
ANN ALS I JOV;Wellgunde
MARINA PINCHUK;Flosshilde
ROBERTO ARONICA;Don Jos
SIMONE ALBERGHINI;Escamillo
MAURIZIO LEONI;Le Dancare
PAOLO ANTOGNETTI;Le Remendado
NICOL CERIANI;Morals
MASSIMILIANO CATELLANI;Zuniga
VERONICA SIMEONI;Carmen
MARIA KATZARAVA;Micala
SONIA CIANI;Frasquita
ANTONELLA COLAIANNI;Mercds
LUCIA MICHELAZZO;Una venditrice di arance
SANDRO PUCCI;Uno zingaro
ALESSANDRO CIARDINI;Lillas Pastia
CHRISTOPHER PURVES;The Protector
BARBARA HANNIGAN;Agnes
TIM MEAD;The Boy / First Angel
VICTORIA SIMMONDS;Marie / Second Angel
ROBERT MURRAY;John / Third Angel
MARIELLA DEVIA;Elisabetta, regina dInghilterra
SONIA GANASSI;Sara, duchessa di Nottingham
STEFAN POP;Roberto Devereux, conte di Essex
MANSOO KIM;Il Duca di Nottingham
ALESSANDRO FANTONI;Lord Cecil
CLAUDIO OTTINO;Sir Gualtiero Raleigh
MATTEO ARMANINO;Un paggio
ALESSIO BIANCHINI;Un familiare di Nottingham
DEOS;Mimi
MARCO CARIA;Enrico Ashton
ELENA MOSUC;Miss Lucia
GIORGIO BERRUGI;Edgardo di Ravenswood
LUCA TITTOTO;Raimondo Bidebant
PATRIZIA GENTILE;Alisa
EMANUELE DAGUANNO;Arturo
FRANCESCO PITTARI;Normanno
DANIELA PINI;Angelina (Cenerentola)
GIORGIO MISSERI;Don Ramiro
DAVIDE BARTOLUCCI;Dandini
MARCO FILIPPO ROMANO;Don Magnifico
SIMON LIM;Alidoro
GIULIANA GIANFALDONI;Clorinda
LORIANA CASTELLANO;Tisbe
JOHN OSBORN;Benvenuto Cellini
NICOLA ULIVIERI;Giacomo Balducci
ALESSANDRO LUONGO;Fieramosca
VII MARCO SPOTTI;Le Pape Clment
MATTEO FALCIER;Francesco
GRAZIANO DALLAVALLE;Bernardino
ANDREA GIOVANNINI;Pompeo
VLADIMIR REUTOV;Cabaretier
MARIANGELA SICILIA;Teresa
VARDUHI ABRAHAMYAN;Ascanio
ALESSANDRO SCOTTO DI LUZIO;Il duca di Mantova
LEO AN;Rigoletto
MIHAELA MARCU;Gilda
GIANLUCA BREDA;Sparafucile
CLARISSA LEONARDI;Maddalena
ALICE MARINI;Giovanna
ALESSIO VERNA;Il conte di Monterone
TOMMASO BAREA;Il cavaliere Marullo
ANTONELLO CERON;Matteo Borsa
ROMANO DAL ZOVO;Il conte di Ceprano
FRANCESCA MICARELLI;La contessa di Ceprano / Un paggio
DARIO GIORGEL;Un usciere di Corte
ELIA FABBIAN;Sir John Falstaff
STEFANO ANTONUCCI;Ford
LEONARDO CORTELLAZZI;Fenton
CRISTIANO OLIVIERI;Dottor Cajus
GIANLUCA SORRENTINO;Bardolfo
GABRIELE SAGONA;Pistola
EVA MEI;Mrs. Alice Ford
ROSA FEOLA;Nannetta
BARBARA DI CASTRI;Mrs. Quickly
ANNUNZIATA VESTRI;Mrs. Meg Page
LUCA DALLAMICO;Don Giovanni
FEDERICO BENETTI;Il Commendatore
DAVIDE GIUSTI;Don Ottavio
MARC LAHO;Hoffmann
SOPHIE MARILLEY;La Muse / Nicklausse
ALEX ESPOSITO;Lindorf / Copplius / Docteur Miracle / Dapertutto
TORSTEN HOFMANN;Andres/Cochenille/Franz/Pitichinaccio
ANA DURLOVSKY;Olympia
MANDY FREDRICH;Antonia
SIMONE SCHNEIDER;Giulietta
ALTEA GARRIDO;Stella
DOMINIC GROE;Hermann
ERIC ANDER;Schlmil
THOMAS ELWIN;Nathanal
