FIORENZA CEDOLINS;MICHELE MAURO;1
CHRISTOPHER PURVES;SIMONA MIHAI;1
GIANNI SCHICCHI;JOSEFINA BRIVIO;1
JOS MARIA LO MONACO;OMAR MONTANARI;1
CLAUDIO LEVANTINO;FEDERICO BENETTI;1
GIOVANNI BATTISTA PARODI;GIOVANNI BATTISTA PARODI;1
CLAUDIO SGURA;GREGORY BONFATTI;1
ANNA MALAVASI;ELEONORA BURATTO;2
GABRIELLA COLECCHIA;RUDY PARK;1
GIOVANNA DONADINI;RYAN MILSTEAD;1
IGNACIO CASTILLO;MIQUEL RAMON;1
GRAZIANO DALLAVALLE;MASSIMILIANO GAGLIARDO;1
LORENA ARANDA;PAOLA DEL CARPIO;1
DONATELLA SGOBBA;RENE MORLOC;1
DANIELA DESS;FRANCESCO VERNA;1
IRNE THEORIN;RENE TATUM;1
FABIO SARTORI;GIANLUCA FLORIS;2
ANTONELLO CERON;DOLORA ZAJICK;1
ENRICO COSSUTTA;MARIO BOLOGNESI;1
MAX REN COSOTTI;PAOLO MARIA ORECCHIA;1
DENNIS PETERSEN;STEPHANIE BLYTHE;6
ALESSANDRO BRESSANELLO;NGELES BLANCAS GULIN;1
ALEXEI TANOVITSKI;MANUELA BRESS;1
BENEDETTA MAZZUCCATO;ELEONORA DE LA PEA;1
ENEA SCALA;SUNNYBOY DLADLA;1
GIUSEPPINA PIUNTI;ILARIA MICARELLI;1
GERHARD SIEGEL;PETER KOENIG;1
FERRUCCIO FURLANETTO;FRANCESCA FRANCI;1
ALLISON OAKES;JULIE MELLOR;1
DARIO RUSSO;GIANLUCA MARGHERI;1
EVGENIYA SOTNIKOVA;II RENE PAPE;1
MARINA PRUDENSKAYA;PIERO PRETTI;1
ANDERS DAHLIN;NICHOLAS PHAN;1
CHIARA ISOTTON;FRANCESCO MELI;1
CECELIA HALL;TAMARA MANCINI;3
ANNAMARIA POPESCU;DANIELA BARCELLONA;1
FRANCESCO VULTAGGIO;GABRIELE MARI;1
ANNA GORYACHOVA;JUAN DIEGO FLREZ;1
GIUSEPPINA BRIDELLI;LORENZO REGAZZO;1
CASTIGNANI;LADISLAV ELGR;1
LIEN HAEGEMAN;SERGEI LEIFERKUS;1
ELENA MONTI;OMAR MONTANARI;1
DENNIS PETERSEN;STUART SKELTON;2
GIUSEPPE GIPALI;MARIE KARALL;2
LUCIO GALLO;RICHARD BERNSTEIN;2
CARMELO CORRADO CARUSO;MONICA MINARELLI;1
DAICHI FUJIKI;MARIA GRAZIA SCHIAVO;1
DANIELA SCHILLACI;ENRICO IORI;1
GIANNI SCHICCHI;WILSON HIDALGO;1
HALL;MARI ERIKSMOEN;1
