DANIELA PINI,LA CENERENTOLA
GIORGIO MISSERI,LA CENERENTOLA
DAVIDE BARTOLUCCI,LA CENERENTOLA
MARCO FILIPPO ROMANO,LA CENERENTOLA
SIMON LIM,LA CENERENTOLA
GIULIANA GIANFALDONI,LA CENERENTOLA
LORIANA CASTELLANO,LA CENERENTOLA
CHRISTOPHER PURVES,WRITTEN ON SKIN
BARBARA HANNIGAN,WRITTEN ON SKIN
TIM MEAD,WRITTEN ON SKIN
VICTORIA SIMMONDS,WRITTEN ON SKIN
ROBERT MURRAY,WRITTEN ON SKIN
LANCE RYAN,GTTERDMMERUNG
SAMUEL YOUN,GTTERDMMERUNG
PETER KNIG,GTTERDMMERUNG
OSKAR HILLEBRANDT,GTTERDMMERUNG
IRNE THEORIN,GTTERDMMERUNG
JACQUELYN WAGNER,GTTERDMMERUNG
MICHAELA SCHUSTER,GTTERDMMERUNG
CRISTINA FAUS,GTTERDMMERUNG
PILAR VZQUEZ,GTTERDMMERUNG
JACQUELYN WAGNER,GTTERDMMERUNG
ISABELLA GAUD,GTTERDMMERUNG
ANN ALS I JOV,GTTERDMMERUNG
MARINA PINCHUK,GTTERDMMERUNG
JOHN OSBORN,BENVENUTO CELLINI
NICOLA ULIVIERI,BENVENUTO CELLINI
ALESSANDRO LUONGO,BENVENUTO CELLINI
VII MARCO SPOTTI,BENVENUTO CELLINI
MATTEO FALCIER,BENVENUTO CELLINI
GRAZIANO DALLAVALLE,BENVENUTO CELLINI
ANDREA GIOVANNINI,BENVENUTO CELLINI
VLADIMIR REUTOV,BENVENUTO CELLINI
MARIANGELA SICILIA,BENVENUTO CELLINI
VARDUHI ABRAHAMYAN,BENVENUTO CELLINI
MARIELLA DEVIA,ROBERTO DEVEREUX
SONIA GANASSI,ROBERTO DEVEREUX
STEFAN POP,ROBERTO DEVEREUX
MANSOO KIM,ROBERTO DEVEREUX
ALESSANDRO FANTONI,ROBERTO DEVEREUX
CLAUDIO OTTINO,ROBERTO DEVEREUX
MATTEO ARMANINO,ROBERTO DEVEREUX
ALESSIO BIANCHINI,ROBERTO DEVEREUX
DEOS,ROBERTO DEVEREUX
MARCO CARIA,LUCIA DI LAMMERMOOR
ELENA MOSUC,LUCIA DI LAMMERMOOR
GIORGIO BERRUGI,LUCIA DI LAMMERMOOR
LUCA TITTOTO,LUCIA DI LAMMERMOOR
PATRIZIA GENTILE,LUCIA DI LAMMERMOOR
EMANUELE DAGUANNO,LUCIA DI LAMMERMOOR
FRANCESCO PITTARI,LUCIA DI LAMMERMOOR
ROBERTO ARONICA,CARMEN
SIMONE ALBERGHINI,CARMEN
MAURIZIO LEONI,CARMEN
PAOLO ANTOGNETTI,CARMEN
NICOL CERIANI,CARMEN
MASSIMILIANO CATELLANI,CARMEN
VERONICA SIMEONI,CARMEN
MARIA KATZARAVA,CARMEN
