OLIVER WIDMER;DER FERNE KLANGE (Il suono lontano);1
MAR ABASCAL;LOS SOBRINOS DEL CAPITN GRANT (I nipoti del capitano Grant);1
HANNA HUSHR;Auditorio Nacional de Msica de Madrid;1
RYAN GIBB;JOSEPH AND THE AMAZING TECHNICOLOR DREAMCOAT;1
PAMELA FLORES;Musica di Georg Friedrich HandelAlcina, DANIELA EZQUERRA;1
LUCA DALLAMICO;Fondazione Arena di Verona  87 Festival 2009;2
ELENA POPOVSKAJA;TURANDOT;1
PAOLO LOPEZ;GIULIO CESARE;2
ALEXISE YERNA;ERNANI;1
MIRCO PALAZZI;ZELMIRA;1
ROBERTO DE CANDIA;LA FORZA DEL DESTINO;1
MASSIMO CAVALLETTI;LUCIA DI LAMMERMOOR;2
MARIANA PENTCHEVA;LA FORZA DEL DESTINO;1
STEPHEN MILLING;DIE WALKRE;1
STEFAN HEIDEMANN;RIENZI, der Letzte der Tribunen;1
WOLFGANG BANKL;DIE LUSTIGE WITWE ( La vedova allegra );1
AQUILES MACHADO;LA BOHME;1
MAURO SECCI;EREVKI (Gli Stivaletti);1
VALENTINA BOI;IL TRITTICO;1
MARIO LUPERI;STIFFELIO;2
EMANUELE CORDARO;GIOVANNA DARCO;1
LUDOVIC TZIER;DON CARLO;1
VALERI TURMANOV;ZAIRA;1
MARIO CASSI;MADAMA BUTTERFLY;1
TERRY WEY;LA DIDONE;1
ANASTASIJA HARMS;MADAMA BUTTERFLY;1
DANIELE PALUMBO;DON PASQUALE;1
PARK JOUNGMIN;TURANDOT;1
II TEHILA NENI GOLDSTEIN;LA DIDONE;1
MASSIMILIANO CHIAROLLA;NORMA;1
CHARLES OPPENHEIM/ARTURO LOPEZ CASTILLO;TOSCA;1
CARMINE MONACO;MADAMA BUTTERFLY;1
CATERINA DANGELO;VIVA LA MAMMA ossia LE CONVENIENZE ED INCONVENIENZE TEATRALI;1
ANDREA PAPI;IL CORSARO;1
OKSANA DYKA;UN BALLO IN MASCHERA;3
SIMONE SCHNEIDER;ELEKTRA;1
CRISTINA TOLEDO;SIEGFRIED;1
MARCO CARIA;MADAMA BUTTERFLY;1
JOSE LUIS COSTA;LA LEYENDA DEL BESO Zarzuela in Tre Atti di Enrique Royo, Antonio Paso figlio e Silva Aramburu.;1
ENZO BOCCANERA;LA VEDOVA ALLEGRA;1
KERSTIN CHAVEZ;THE RAPE OF LUCRETIA;1
MARCO FILIPPO ROMANO;GUILLAUME TELL;1
ARNALDO KLLOGJERI;MACBETH;1
SANDRA PASTRANA;IL SIGNOR BRUSCHINO ossia Il figlio per azzardo;1
DIONIGI DOSTUNI;LA FUGA IN MASCHERA;1
TOMMASO CORVAJA;LA TRAVIATA;1
MATTEO MEZZARO;IL FILOSOFO DI CAMPAGNA;1
HALL;LE NOZZE DI FIGARO;1
RICHARD PAUL FINK;RUSALKA;1
THOMAS PIFFKA;LULU;1
FRANCESCO MUSINU;CARMEN;1
ANNALISA FERRARINI;RIGOLETTO;1
OLESYA BERMAN CHUPRINOVA;ELISABETTA REGINA DINGHILTERRA;1
SIMONE ALBERGHINI;LA BOHME;1
INGA KALNA;LUCIO SILLA;1
LORIS PURPURA;BILLY BUDD;2
ELENA TRAVERSI;LE RIRE  (Il riso);1
AMBROGIO MAESTRI;RIGOLETTO;1
NADJA MICHAEL;POPPEA E NERONE (LIncoronazione di Poppea);1
ROBERTO JACHINI VIRGILI;FALSTAFF;1
ANGELA DENOKE;VC MAKROPULOS (Laffare Makropulos);1
MARINA OGII;LUCIA DI LAMMERMOOR;1
ALEKSEY TATARINTSEV;EVGENIJ ONEGIN;1
FABRIZIO BEGGI;TURANDOT;1
MAURIZIO LEONI;Il MAESTRO DI GO;1
DAVID FERRI DURA;DON TRASTULLO;1
CARLO BOSI;CARMEN;1
ANNA NETREBKO;DON PASQUALE Dramma buffo in tre atti su libretto di Michele Accursi (Giovanni Ruffini);1
RANDALL BILLS;COSI FAN TUTTE,ossia la scuola delle amanti (K588);1
PABLO OYANEDEL;TOSCA;1
MATTEO FERRARA;LA TRAVIATA;3
PAATA BURCHULADZE;DON CARLO;1
ELENA TIMOFEEVA;LA SERENATA AL VENTO;1
KEVIN SKELTON;DAFNE (1719);1
DESIREE RANCATORE;DON PASQUALE;1
MARIACARLA SERAPONTE;IL TRITTICO;1
JESSICA PRATT;DON GIOVANNI;1
